GEOID,Total_HH,year,No_Vehicle_Avail,pct_no_veh_avail,No_Vehicle_Score,no_walkshed,Walkability_Score,Availability,pop_below_185,total_pop,pct_below_185,Access,obesity_crudeprev,chd_crudeprev,diabetes_crudeprev,obesity_norm,chd_norm,diabetes_norm,Utilization,HFPA,Priority.Area,Priority.Class
42003191700,1561,2020,98,15.92857143,1.15894348,100,10,3.404325895,491,3651,0.134483703,1.412203635,28,6.1,8.7,3.081761006,2.976190476,2.936170213,2.832183516,7.648713047,Not Anomalous,0
42003141300,2287,2020,543,4.211786372,0.235548813,41.84,4.184,0.992741776,1440,4816,0.299003322,3.139812252,23.1,5.4,7.4,1.540880503,2.55952381,2.382978723,1.787631122,5.920185149,Not Anomalous,0
42003080900,1117,2020,286,3.905594406,0.211417959,12.94,1.294,0.523043821,526,2010,0.261691542,2.748003951,24.4,4.2,6.3,1.949685535,1.845238095,1.914893617,1.46580153,4.736849302,1 SD Below Mean,0
42003130200,457,2020,68,6.720588235,0.433266382,100,10,2.081505182,415,1139,0.364354697,3.826062311,44.4,8.3,19.1,8.238993711,4.285714286,7.361702128,7.363744743,13.27131224,1 SD Above Mean,1
42003020100,2277,2020,675,3.373333333,0.169470698,100,10,1.301809119,612,4654,0.131499785,1.380869729,23.4,3.9,6.4,1.635220126,1.666666667,1.957446809,1.278385062,3.96106391,1 SD Below Mean,0
42003563100,1685,2020,120,14.04166667,1.010237347,71.19,7.119,2.681768013,720,3599,0.200055571,2.100769076,28.1,6.8,9.4,3.113207547,3.392857143,3.234042553,3.142538792,7.925075881,Not Anomalous,0
42003562700,1295,2020,196,6.607142857,0.424325802,74.18,7.418,1.774161435,607,1871,0.324425441,3.406768081,30.5,6,10.1,3.867924528,2.916666667,3.531914894,3.382340251,8.563269768,Not Anomalous,0
42003170200,2222,2020,280,7.935714286,0.529029931,55.71,5.571,1.716748597,1898,4330,0.438337182,4.602947036,24.6,3.9,5.3,2.012578616,1.666666667,1.489361702,1.240639714,7.560335348,Not Anomalous,0
42003191900,1079,2020,81,13.32098765,0.953440952,73.91,7.391,2.654596406,415,2069,0.20057999,2.106275965,27.7,5.6,8,2.987421384,2.678571429,2.638297872,2.545190431,7.306062802,Not Anomalous,0
42003320600,1030,2020,15,68.66666667,5.315209527,100,10,7.290548352,448,2317,0.193353474,2.030390844,28.8,6.3,8.8,3.333333333,3.095238095,2.978723404,3.004077547,12.32501674,Not Anomalous,0
